Time Start Target Weight
102 1583 1510 1
104 1510 1525 1
104 1583 1553 1
104 1583 1525 1
104 1553 1523 1
104 1553 1525 1
104 1510 1553 1
104 1583 1510 1
106 1510 1525 1
106 1583 1553 1
106 1583 1525 1
106 1553 1523 1
106 1553 1525 1
106 1523 1525 1
106 1510 1553 1
106 1583 1523 1
106 1583 1510 1
108 1510 1553 1
108 1510 1599 1
108 1583 1523 1
108 1513 1560 1
108 1523 1599 1
108 1525 1599 1
108 1510 1523 1
108 1583 1510 1
110 1553 1525 1
110 1523 1525 1
110 1513 1560 1
110 1523 1599 1
110 1525 1599 1
110 1510 1523 1
110 1583 1510 1
112 1513 1560 1
112 1523 1599 1
112 1525 1599 1
112 1510 1523 1
112 1583 1510 1
114 1602 1631 1
114 1583 1553 1
114 1525 1599 1
114 1510 1553 1
114 1510 1523 1
114 1583 1523 1
114 1553 1523 1
114 1583 1510 1
116 1510 1553 1
116 1510 1523 1
116 1583 1523 1
116 1553 1523 1
116 1553 1525 1
116 1553 1599 1
116 1523 1599 1
116 1523 1525 1
116 1583 1510 1
118 1510 1599 1
118 1583 1599 1
118 1602 1631 1
118 1583 1510 1
120 1583 1525 1
120 1583 1599 1
120 1599 1525 1
120 1602 1631 1
120 1510 1525 1
120 1523 1525 1
120 1573 1519 1
120 1537 1560 1
120 1599 1523 1
120 1583 1510 1
122 1573 1519 1
122 1537 1560 1
122 1599 1523 1
122 1583 1510 1
124 1537 1560 1
124 1599 1523 1
124 1583 1510 1
126 1602 1631 1
126 1599 1523 1
126 1583 1510 1
128 1583 1599 1
128 1599 1510 1
128 1583 1519 1
128 1602 1631 1
128 1599 1523 1
128 1583 1510 1
130 1583 1519 1
130 1519 1525 1
130 1602 1631 1
130 1599 1523 1
130 1583 1510 1
132 1602 1631 1
132 1599 1523 1
132 1583 1510 1
134 1560 1531 1
134 1602 1631 1
134 1599 1523 1
134 1583 1510 1
136 1602 1631 1
136 1523 1531 1
136 1599 1523 1
136 1583 1510 1
138 1539 1568 1
138 1599 1604 1
138 1602 1631 1
138 1599 1531 1
138 1523 1531 1
138 1604 1531 1
138 1599 1523 1
138 1583 1510 1
140 1599 1531 1
140 1523 1531 1
140 1604 1531 1
140 1599 1523 1
140 1583 1510 1
142 1599 1529 1
142 1599 1510 1
142 1604 1531 1
142 1599 1525 1
142 1599 1523 1
142 1602 1631 1
142 1583 1510 1
144 1529 1523 1
144 1510 1523 1
144 1583 1599 1
144 1599 1529 1
144 1599 1510 1
144 1604 1531 1
144 1599 1525 1
144 1599 1523 1
144 1602 1631 1
144 1583 1510 1
146 1583 1599 1
146 1599 1529 1
146 1599 1510 1
146 1604 1531 1
146 1599 1525 1
146 1549 1525 1
146 1599 1523 1
146 1602 1631 1
146 1583 1510 1
148 1543 1513 1
148 1544 1573 1
148 1599 1525 1
148 1549 1525 1
148 1599 1523 1
148 1602 1631 1
148 1583 1510 1
150 1583 1599 1
150 1599 1529 1
150 1599 1510 1
150 1549 1525 1
150 1599 1523 1
150 1602 1631 1
150 1583 1510 1
152 1543 1513 1
152 1599 1529 1
152 1599 1510 1
152 1549 1525 1
152 1599 1523 1
152 1602 1631 1
152 1583 1510 1
154 1583 1599 1
154 1599 1529 1
154 1599 1510 1
154 1544 1573 1
154 1549 1525 1
154 1599 1523 1
154 1602 1631 1
154 1583 1510 1
156 1599 1529 1
156 1599 1510 1
156 1604 1531 1
156 1519 1523 1
156 1544 1573 1
156 1549 1525 1
156 1599 1523 1
156 1602 1631 1
156 1583 1510 1
158 1544 1573 1
158 1549 1525 1
158 1599 1523 1
158 1602 1631 1
158 1583 1510 1
160 1544 1549 1
160 1544 1525 1
160 1544 1599 1
160 1549 1525 1
160 1599 1525 1
160 1599 1523 1
160 1544 1523 1
160 1602 1631 1
160 1604 1531 1
160 1583 1510 1
162 1544 1583 1
162 1544 1525 1
162 1544 1599 1
162 1549 1525 1
162 1599 1525 1
162 1599 1523 1
162 1544 1523 1
162 1544 1510 1
162 1602 1631 1
162 1604 1531 1
162 1583 1510 1
164 1599 1523 1
164 1525 1529 1
164 1544 1523 1
164 1544 1510 1
164 1602 1631 1
164 1604 1531 1
164 1583 1510 1
166 1544 1523 1
166 1544 1510 1
166 1523 1525 1
166 1544 1599 1
166 1602 1631 1
166 1583 1525 1
166 1544 1525 1
166 1604 1531 1
166 1583 1510 1
168 1544 1599 1
168 1602 1631 1
168 1526 1531 1
168 1583 1525 1
168 1544 1525 1
168 1604 1531 1
168 1599 1523 1
168 1583 1510 1
170 1602 1631 1
170 1526 1531 1
170 1510 1525 1
170 1583 1525 1
170 1544 1525 1
170 1604 1531 1
170 1599 1523 1
170 1583 1510 1
172 1510 1525 1
172 1583 1525 1
172 1544 1525 1
172 1604 1531 1
172 1582 1523 1
172 1582 1599 1
172 1599 1523 1
172 1583 1510 1
174 1549 1525 1
174 1583 1525 1
174 1602 1631 1
174 1544 1525 1
174 1604 1531 1
174 1582 1523 1
174 1582 1599 1
174 1599 1523 1
174 1583 1510 1
176 1544 1525 1
176 1551 1269 1
176 1604 1531 1
176 1582 1523 1
176 1582 1599 1
176 1599 1523 1
176 1583 1510 1
178 1463 1628 1
178 1604 1531 1
178 1519 1523 1
178 1582 1523 1
178 1582 1599 1
178 1599 1523 1
178 1549 1525 1
178 1583 1510 1
180 1552 1600 1
180 1582 1523 1
180 1582 1599 1
180 1602 1631 1
180 1599 1523 1
180 1549 1525 1
180 1583 1510 1
182 1551 1269 1
182 1599 1523 1
182 1549 1525 1
182 1604 1531 1
182 1583 1510 1
184 1544 1523 1
184 1551 1514 1
184 1551 1269 1
184 1591 1531 1
184 1544 1599 1
184 1599 1523 1
184 1549 1525 1
184 1604 1531 1
184 1583 1510 1
186 1591 1604 1
186 1551 1514 1
186 1551 1269 1
186 1591 1531 1
186 1602 1631 1
186 1544 1599 1
186 1599 1523 1
186 1549 1525 1
186 1604 1531 1
186 1583 1510 1
188 1544 1523 1
188 1547 1504 1
188 1551 1514 1
188 1551 1269 1
188 1552 1600 1
188 1591 1531 1
188 1602 1631 1
188 1523 1529 1
188 1544 1599 1
188 1599 1523 1
188 1549 1525 1
188 1604 1531 1
188 1583 1510 1
190 1544 1599 1
190 1599 1523 1
190 1510 1529 1
190 1523 1525 1
190 1599 1529 1
190 1549 1525 1
190 1604 1531 1
190 1583 1510 1
192 1544 1525 1
192 1544 1510 1
192 1599 1529 1
192 1600 1523 1
192 1601 1604 1
192 1510 1525 1
192 1549 1525 1
192 1463 1628 1
192 1604 1531 1
192 1583 1510 1
194 1544 1600 1
194 1544 1523 1
194 1549 1525 1
194 1599 1510 1
194 1519 1523 1
194 1463 1628 1
194 1599 1523 1
194 1602 1631 1
194 1604 1531 1
194 1583 1510 1
196 1463 1628 1
196 1599 1523 1
196 1601 1629 1
196 1599 1529 1
196 1602 1631 1
196 1604 1531 1
196 1583 1510 1
198 1544 1529 1
198 1549 1523 1
198 1601 1629 1
198 1616 1518 1
198 1547 1504 1
198 1599 1529 1
198 1544 1599 1
198 1549 1519 1
198 1602 1631 1
198 1604 1531 1
198 1583 1510 1
200 1547 1504 1
200 1599 1529 1
200 1523 1529 1
200 1544 1599 1
200 1549 1519 1
200 1602 1631 1
200 1604 1531 1
200 1583 1510 1
202 1544 1529 1
202 1544 1599 1
202 1549 1519 1
202 1600 1519 1
202 1602 1631 1
202 1604 1531 1
202 1551 1269 1
202 1583 1510 1
204 1544 1523 1
204 1600 1519 1
204 1602 1631 1
204 1604 1531 1
204 1463 1628 1
204 1551 1269 1
204 1616 1518 1
204 1599 1523 1
204 1583 1510 1
206 1544 1529 1
206 1551 1514 1
206 1551 1269 1
206 1616 1518 1
206 1547 1504 1
206 1599 1523 1
206 1583 1510 1
208 1544 1599 1
208 1547 1504 1
208 1691 1518 1
208 1600 1519 1
208 1599 1523 1
208 1604 1531 1
208 1583 1510 1
210 1544 1529 1
210 1599 1523 1
210 1604 1531 1
210 1551 1514 1
210 1602 1631 1
210 1583 1510 1
212 1544 1529 1
212 1545 1580 1
212 1549 1523 1
212 1616 1518 1
212 1549 1599 1
212 1599 1523 1
212 1604 1531 1
212 1551 1514 1
212 1602 1631 1
212 1583 1510 1
214 1549 1599 1
214 1599 1523 1
214 1604 1531 1
214 1544 1599 1
214 1551 1514 1
214 1602 1631 1
214 1583 1510 1
216 1544 1529 1
216 1544 1599 1
216 1544 1523 1
216 1551 1514 1
216 1616 1518 1
216 1600 1519 1
216 1602 1631 1
216 1583 1510 1
218 1523 1529 1
218 1544 1523 1
218 1551 1514 1
218 1616 1518 1
218 1600 1519 1
218 1602 1631 1
218 1583 1510 1
220 1544 1523 1
220 1551 1514 1
220 1616 1518 1
220 1600 1519 1
220 1602 1631 1
220 1604 1531 1
220 1583 1510 1
222 1544 1523 1
222 1549 1529 1
222 1551 1514 1
222 1616 1518 1
222 1600 1519 1
222 1602 1631 1
222 1604 1531 1
222 1583 1510 1
224 1539 1549 1
224 1600 1523 1
224 1600 1519 1
224 1601 1629 1
224 1602 1631 1
224 1544 1529 1
224 1604 1531 1
224 1519 1523 1
224 1583 1510 1
226 1544 1529 1
226 1544 1583 1
226 1604 1531 1
226 1616 1518 1
226 1544 1510 1
226 1519 1523 1
226 1583 1510 1
228 1544 1510 1
228 1600 1523 1
228 1539 1544 1
228 1600 1519 1
228 1519 1523 1
228 1539 1529 1
228 1583 1510 1
230 1600 1523 1
230 1604 1531 1
230 1539 1544 1
230 1600 1519 1
230 1602 1631 1
230 1519 1523 1
230 1539 1529 1
230 1583 1510 1
232 1539 1544 1
232 1539 1600 1
232 1600 1519 1
232 1544 1523 1
232 1463 1628 1
232 1602 1631 1
232 1519 1523 1
232 1539 1529 1
232 1544 1529 1
232 1583 1510 1
234 1539 1599 1
234 1539 1519 1
234 1544 1523 1
234 1463 1628 1
234 1600 1523 1
234 1602 1631 1
234 1519 1523 1
234 1539 1529 1
234 1544 1529 1
234 1583 1510 1
236 1539 1544 1
236 1599 1600 1
236 1599 1519 1
236 1600 1523 1
236 1602 1631 1
236 1519 1529 1
236 1519 1523 1
236 1539 1529 1
236 1539 1523 1
236 1544 1529 1
236 1599 1523 1
236 1600 1519 1
236 1544 1599 1
236 1583 1510 1
238 1539 1529 1
238 1539 1631 1
238 1539 1523 1
238 1539 1771 1
238 1544 1529 1
238 1599 1523 1
238 1599 1529 1
238 1599 1631 1
238 1539 1599 1
238 1599 1510 1
238 1600 1519 1
238 1544 1599 1
238 1604 1531 1
238 1583 1510 1
240 1539 1544 1
240 1539 1599 1
240 1583 1599 1
240 1599 1600 1
240 1599 1510 1
240 1600 1523 1
240 1602 1631 1
240 1519 1523 1
240 1600 1519 1
240 1544 1599 1
240 1604 1531 1
240 1583 1510 1
242 1549 1631 1
242 1600 1523 1
242 1602 1631 1
242 1519 1523 1
242 1600 1519 1
242 1544 1599 1
242 1544 1523 1
242 1604 1531 1
242 1583 1510 1
244 1600 1519 1
244 1599 1529 1
244 1523 1529 1
244 1544 1529 1
244 1544 1599 1
244 1544 1523 1
244 1604 1531 1
244 1569 1520 1
244 1583 1510 1
246 1599 1529 1
246 1600 1628 1
246 1602 1631 1
246 1523 1529 1
246 1616 1518 1
246 1544 1529 1
246 1463 1628 1
246 1544 1599 1
246 1599 1523 1
246 1544 1523 1
246 1604 1531 1
246 1539 1547 1
246 1569 1520 1
246 1583 1510 1
248 1463 1600 1
248 1616 1518 1
248 1544 1529 1
248 1463 1628 1
248 1544 1599 1
248 1599 1523 1
248 1544 1523 1
248 1604 1531 1
248 1539 1547 1
248 1569 1520 1
248 1583 1510 1
250 1544 1529 1
250 1545 1616 1
250 1569 1742 1
250 1463 1628 1
250 1599 1529 1
250 1544 1599 1
250 1599 1523 1
250 1544 1523 1
250 1604 1531 1
250 1539 1547 1
250 1569 1520 1
250 1583 1510 1
252 1599 1529 1
252 1544 1599 1
252 1599 1523 1
252 1601 1629 1
252 1523 1529 1
252 1544 1523 1
252 1545 1430 1
252 1430 1453 1
252 1604 1531 1
252 1539 1547 1
252 1569 1520 1
252 1583 1510 1
254 1544 1599 1
254 1599 1523 1
254 1600 1529 1
254 1601 1629 1
254 1523 1529 1
254 1544 1523 1
254 1545 1453 1
254 1545 1430 1
254 1430 1453 1
254 1563 1618 1
254 1742 1520 1
254 1604 1531 1
254 1539 1547 1
254 1569 1520 1
254 1569 1742 1
254 1583 1510 1
256 1544 1529 1
256 1544 1523 1
256 1545 1453 1
256 1545 1430 1
256 1430 1453 1
256 1434 1448 1
256 1563 1618 1
256 1463 1599 1
256 1463 1628 1
256 1742 1520 1
256 1604 1531 1
256 1539 1547 1
256 1569 1520 1
256 1569 1742 1
256 1549 1523 1
256 1583 1510 1
258 1448 1600 1
258 1463 1628 1
258 1601 1629 1
258 1742 1520 1
258 1604 1531 1
258 1539 1547 1
258 1569 1520 1
258 1569 1742 1
258 1549 1523 1
258 1583 1510 1
260 1563 1618 1
260 1604 1531 1
260 1539 1547 1
260 1569 1520 1
260 1569 1742 1
260 1549 1523 1
260 1583 1510 1
262 1604 1531 1
262 1539 1547 1
262 1742 1520 1
262 1569 1520 1
262 1569 1742 1
262 1549 1523 1
262 1583 1510 1
264 1539 1547 1
264 1569 1448 1
264 1742 1520 1
264 1569 1520 1
264 1569 1742 1
264 1549 1523 1
264 1583 1510 1
266 1448 1487 1
266 1529 1531 1
266 1583 1531 1
266 1463 1628 1
266 1742 1520 1
266 1510 1531 1
266 1523 1531 1
266 1569 1520 1
266 1569 1742 1
266 1602 1631 1
266 1549 1523 1
266 1583 1510 1
268 1539 1448 1
268 1544 1531 1
268 1583 1531 1
268 1463 1628 1
268 1742 1520 1
268 1510 1531 1
268 1523 1531 1
268 1569 1520 1
268 1604 1518 1
268 1569 1742 1
268 1602 1631 1
268 1549 1523 1
268 1583 1510 1
270 1434 1602 1
270 1434 1631 1
270 1523 1531 1
270 1569 1520 1
270 1604 1518 1
270 1569 1742 1
270 1602 1631 1
270 1549 1523 1
270 1583 1510 1
272 1569 1520 1
272 1604 1616 1
272 1604 1518 1
272 1569 1742 1
272 1602 1631 1
272 1549 1523 1
272 1583 1510 1
274 1569 1742 1
274 1602 1631 1
274 1549 1523 1
274 1583 1510 1
276 1563 1618 1
276 1463 1628 1
276 1602 1631 1
276 1616 1518 1
276 1604 1616 1
276 1549 1523 1
276 1583 1510 1
278 1604 1616 1
278 1569 1742 1
278 1742 1520 1
278 1549 1523 1
278 1583 1510 1
280 1569 1520 1
280 1569 1742 1
280 1742 1520 1
280 1549 1523 1
280 1616 1518 1
280 1583 1510 1
282 1563 1618 1
282 1569 1520 1
282 1569 1626 1
282 1569 1742 1
282 1742 1520 1
282 1742 1626 1
282 1626 1520 1
282 1549 1523 1
282 1616 1518 1
282 1583 1510 1
284 1549 1523 1
284 1616 1518 1
284 1583 1510 1
286 1563 1618 1
286 1549 1523 1
286 1616 1518 1
286 1583 1510 1
288 1549 1523 1
288 1616 1518 1
288 1583 1510 1
290 1549 1523 1
290 1434 1629 1
290 1616 1518 1
290 1742 1520 1
290 1563 1618 1
290 1599 1512 1
290 1583 1510 1
292 1742 1520 1
292 1563 1618 1
292 1599 1512 1
292 1583 1510 1
294 1563 1618 1
294 1604 1616 1
294 1604 1527 1
294 1549 1523 1
294 1599 1512 1
294 1583 1510 1
296 1592 1618 1
296 1549 1523 1
296 1616 1518 1
296 1604 1518 1
296 1599 1512 1
296 1583 1510 1
298 1549 1523 1
298 1563 1618 1
298 1616 1518 1
298 1604 1518 1
298 1604 1616 1
298 1599 1512 1
298 1583 1510 1
300 1616 1518 1
300 1604 1518 1
300 1604 1616 1
300 1599 1512 1
300 1583 1510 1
302 1592 1618 1
302 1616 1518 1
302 1563 1618 1
302 1604 1518 1
302 1519 1529 1
302 1604 1616 1
302 1549 1523 1
302 1599 1512 1
302 1583 1510 1
304 1563 1618 1
304 1604 1518 1
304 1519 1529 1
304 1604 1616 1
304 1549 1523 1
304 1563 1592 1
304 1599 1512 1
304 1583 1510 1
306 1592 1618 1
306 1604 1616 1
306 1549 1523 1
306 1563 1592 1
306 1601 1629 1
306 1599 1512 1
306 1583 1510 1
308 1549 1523 1
308 1563 1592 1
308 1604 1518 1
308 1601 1629 1
308 1628 1527 1
308 1599 1512 1
308 1519 1529 1
308 1583 1510 1
310 1563 1618 1
310 1592 1520 1
310 1601 1629 1
310 1628 1527 1
310 1599 1512 1
310 1604 1616 1
310 1519 1529 1
310 1583 1510 1
312 1549 1523 1
312 1549 1525 1
312 1601 1629 1
312 1604 1518 1
312 1628 1527 1
312 1599 1512 1
312 1604 1616 1
312 1519 1529 1
312 1583 1510 1
314 1563 1618 1
314 1628 1527 1
314 1599 1512 1
314 1592 1626 1
314 1604 1616 1
314 1519 1529 1
314 1616 1518 1
314 1583 1510 1
316 1599 1512 1
316 1604 1518 1
316 1592 1520 1
316 1592 1626 1
316 1604 1616 1
316 1519 1529 1
316 1616 1518 1
316 1583 1510 1
318 1563 1618 1
318 1592 1520 1
318 1592 1626 1
318 1604 1616 1
318 1519 1529 1
318 1616 1518 1
318 1628 1527 1
318 1549 1523 1
318 1583 1510 1
320 1616 1518 1
320 1628 1527 1
320 1600 1626 1
320 1549 1523 1
320 1600 1520 1
320 1626 1520 1
320 1604 1518 1
320 1583 1510 1
322 1600 1626 1
322 1549 1523 1
322 1600 1520 1
322 1626 1520 1
322 1601 1629 1
322 1604 1518 1
322 1583 1510 1
324 1549 1523 1
324 1600 1520 1
324 1626 1520 1
324 1563 1618 1
324 1601 1629 1
324 1604 1616 1
324 1604 1518 1
324 1512 1525 1
324 1583 1510 1
326 1544 1529 1
326 1544 1525 1
326 1616 1518 1
326 1563 1618 1
326 1601 1629 1
326 1604 1616 1
326 1604 1518 1
326 1512 1525 1
326 1583 1510 1
328 1563 1618 1
328 1437 1599 1
328 1601 1629 1
328 1604 1616 1
328 1549 1523 1
328 1604 1518 1
328 1512 1525 1
328 1583 1510 1
330 1549 1523 1
330 1599 1527 1
330 1604 1518 1
330 1512 1525 1
330 1616 1518 1
330 1583 1510 1
332 1437 1527 1
332 1604 1518 1
332 1544 1529 1
332 1463 1628 1
332 1563 1618 1
332 1512 1525 1
332 1437 1599 1
332 1616 1518 1
332 1583 1510 1
334 1544 1529 1
334 1463 1628 1
334 1592 1527 1
334 1601 1629 1
334 1549 1523 1
334 1463 1518 1
334 1563 1618 1
334 1512 1525 1
334 1437 1599 1
334 1616 1518 1
334 1583 1510 1
336 1549 1523 1
336 1463 1518 1
336 1592 1525 1
336 1563 1618 1
336 1512 1525 1
336 1437 1599 1
336 1592 1600 1
336 1616 1518 1
336 1583 1510 1
338 1563 1618 1
338 1512 1525 1
338 1437 1599 1
338 1592 1600 1
338 1616 1518 1
338 1583 1510 1
340 1549 1523 1
340 1592 1525 1
340 1437 1599 1
340 1592 1600 1
340 1616 1518 1
340 1549 1525 1
340 1583 1510 1
342 1592 1523 1
342 1523 1525 1
342 1563 1618 1
342 1437 1599 1
342 1592 1600 1
342 1616 1518 1
342 1549 1525 1
342 1583 1510 1
344 1544 1592 1
344 1544 1604 1
344 1463 1518 1
344 1592 1525 1
344 1563 1618 1
344 1437 1599 1
344 1592 1600 1
344 1616 1518 1
344 1549 1525 1
344 1583 1510 1
346 1544 1525 1
346 1563 1618 1
346 1437 1599 1
346 1592 1600 1
346 1616 1518 1
346 1604 1523 1
346 1549 1525 1
346 1583 1510 1
348 1542 1599 1
348 1437 1599 1
348 1592 1600 1
348 1616 1518 1
348 1604 1523 1
348 1549 1525 1
348 1583 1510 1
350 1544 1525 1
350 1463 1628 1
350 1616 1518 1
350 1563 1592 1
350 1604 1523 1
350 1549 1525 1
350 1583 1510 1
352 1563 1592 1
352 1604 1523 1
352 1616 1527 1
352 1518 1527 1
352 1549 1525 1
352 1583 1510 1
354 1549 1525 1
354 1583 1510 1
356 1544 1549 1
356 1448 1629 1
356 1463 1628 1
356 1549 1525 1
356 1583 1510 1
358 1544 1604 1
358 1463 1628 1
358 1549 1525 1
358 1583 1510 1
360 1544 1529 1
360 1553 1523 1
360 1544 1604 1
360 1463 1628 1
360 1549 1525 1
360 1583 1510 1
362 1544 1529 1
362 1553 1523 1
362 1563 1618 1
362 1544 1604 1
362 1463 1628 1
362 1549 1525 1
362 1583 1510 1
364 1544 1604 1
364 1600 1529 1
364 1523 1525 1
364 1463 1628 1
364 1549 1525 1
364 1583 1510 1
366 1544 1525 1
366 1549 1523 1
366 1523 1525 1
366 1600 1519 1
366 1544 1523 1
366 1463 1628 1
366 1549 1525 1
366 1583 1510 1
368 1563 1592 1
368 1600 1519 1
368 1544 1523 1
368 1463 1628 1
368 1549 1525 1
368 1583 1510 1
370 1600 1529 1
370 1600 1519 1
370 1519 1529 1
370 1544 1523 1
370 1437 1604 1
370 1463 1628 1
370 1544 1525 1
370 1523 1525 1
370 1549 1525 1
370 1583 1510 1
372 1544 1523 1
372 1437 1604 1
372 1463 1628 1
372 1544 1525 1
372 1523 1525 1
372 1549 1525 1
372 1583 1510 1
374 1463 1628 1
374 1600 1519 1
374 1519 1529 1
374 1544 1525 1
374 1523 1525 1
374 1549 1525 1
374 1583 1510 1
376 1600 1519 1
376 1519 1529 1
376 1544 1523 1
376 1544 1525 1
376 1523 1525 1
376 1549 1525 1
376 1583 1510 1
378 1448 1487 1
378 1544 1523 1
378 1544 1525 1
378 1523 1525 1
378 1549 1525 1
378 1583 1510 1
380 1544 1523 1
380 1544 1525 1
380 1523 1525 1
380 1549 1525 1
380 1600 1519 1
380 1583 1510 1
382 1523 1525 1
382 1549 1525 1
382 1519 1529 1
382 1600 1519 1
382 1601 1629 1
382 1583 1510 1
384 1544 1525 1
384 1523 1525 1
384 1549 1525 1
384 1544 1523 1
384 1519 1529 1
384 1600 1519 1
384 1601 1629 1
384 1583 1510 1
386 1549 1525 1
386 1600 1529 1
386 1544 1523 1
386 1519 1529 1
386 1600 1519 1
386 1601 1629 1
386 1583 1510 1
388 1544 1600 1
388 1544 1523 1
388 1519 1529 1
388 1600 1519 1
388 1601 1629 1
388 1523 1525 1
388 1583 1510 1
390 1600 1519 1
390 1601 1629 1
390 1523 1525 1
390 1583 1510 1
392 1523 1525 1
392 1583 1510 1
394 1601 1629 1
394 1523 1525 1
394 1583 1510 1
396 1601 1629 1
396 1600 1519 1
396 1523 1525 1
396 1583 1510 1
398 1600 1529 1
398 1600 1519 1
398 1523 1525 1
398 1583 1510 1
400 1463 1628 1
400 1601 1629 1
400 1600 1529 1
400 1600 1519 1
400 1523 1525 1
400 1583 1510 1
402 1601 1629 1
402 1600 1529 1
402 1600 1519 1
402 1523 1525 1
402 1583 1510 1
404 1463 1628 1
404 1601 1629 1
404 1600 1529 1
404 1600 1519 1
404 1523 1525 1
404 1583 1510 1
406 1601 1629 1
406 1600 1529 1
406 1600 1519 1
406 1523 1525 1
406 1583 1510 1
408 1601 1629 1
408 1600 1529 1
408 1600 1519 1
408 1523 1525 1
408 1583 1510 1
410 1601 1629 1
410 1519 1529 1
410 1600 1529 1
410 1600 1519 1
410 1523 1525 1
410 1583 1510 1
412 1600 1529 1
412 1600 1519 1
412 1523 1525 1
412 1583 1510 1
414 1461 1627 1
414 1600 1519 1
414 1523 1525 1
414 1583 1510 1
416 1600 1519 1
416 1523 1525 1
416 1583 1510 1
418 1600 1519 1
418 1549 1523 1
418 1549 1525 1
418 1523 1525 1
418 1583 1510 1
420 1549 1523 1
420 1461 1627 1
420 1549 1525 1
420 1523 1525 1
420 1583 1510 1
422 1553 1519 1
422 1549 1525 1
422 1523 1525 1
422 1583 1510 1
424 1549 1523 1
424 1553 1519 1
424 1549 1525 1
424 1600 1519 1
424 1523 1525 1
424 1583 1510 1
426 1549 1525 1
426 1600 1519 1
426 1523 1525 1
426 1583 1510 1
428 1600 1519 1
428 1523 1525 1
428 1583 1510 1
430 1549 1599 1
430 1600 1519 1
430 1523 1525 1
430 1583 1510 1
432 1600 1519 1
432 1523 1525 1
432 1583 1510 1
434 1600 1523 1
434 1523 1525 1
434 1601 1629 1
434 1583 1510 1
436 1601 1629 1
436 1519 1523 1
436 1583 1510 1
438 1600 1519 1
438 1601 1629 1
438 1519 1523 1
438 1583 1510 1
440 1583 1510 1
442 1600 1529 1
442 1600 1519 1
442 1583 1510 1
444 1583 1510 1
446 1600 1529 1
446 1583 1510 1
448 1600 1529 1
448 1600 1519 1
448 1583 1510 1
450 1583 1510 1
